kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
2.04773,0.29,52.16898,-23.180979999999998,-2.2463,0.55492,-0.27552,27.021099999999993,500,LO,NN-only,0.0,
2.0709999999999997,0.3,53.36147,-23.80732,-2.18701,0.54125,-0.27005,27.63834,500,LO,NN-only,0.0,
2.09376,0.31,54.54079,-24.42579,-2.12812,0.52655,-0.2658000000000001,28.247630000000004,500,LO,NN-only,0.0,
2.1160400000000004,0.32,55.70749,-25.03651,-2.0706,0.51288,-0.25988,28.853379999999998,500,LO,NN-only,0.0,
2.13786,0.33,56.862109999999994,-25.63961,-2.0139,0.49828,-0.25371999999999995,29.453159999999997,500,LO,NN-only,0.0,
2.15924,0.34,58.005109999999995,-26.23524,-1.95832,0.48383000000000004,-0.24960999999999994,30.04577,500,LO,NN-only,0.0,
0.90459,0.05,10.18061,-6.940580000000001,-8.79308,-0.9301799999999999,-0.3810199999999999,-6.86425,500,LO,NN-only,0.5,
0.9612700000000001,0.06,11.49638,-8.10967,-9.87849,-0.8272299999999999,-0.01940000000000097,-7.3384100000000005,500,LO,NN-only,0.5,
1.01196,0.07,12.74067,-9.24847,-10.82698,-0.7149600000000002,0.32859000000000016,-7.72115,500,LO,NN-only,0.5,
1.0580200000000002,0.08,13.926870000000001,-10.36195,-11.65884,-0.6012599999999999,0.6481399999999988,-8.047040000000003,500,LO,NN-only,0.5,
1.10038,0.09,15.064520000000002,-11.45373,-12.38495,-0.4906400000000001,0.92068,-8.34412,500,LO,NN-only,0.5,
1.13972,0.1,16.16071,-12.5265,-13.01725,-0.3831199999999999,1.166059999999999,-8.600100000000001,500,LO,NN-only,0.5,
1.17651,0.11,17.220879999999998,-13.582360000000001,-13.567860000000001,-0.28504,1.3711300000000015,-8.843249999999998,500,LO,NN-only,0.5,
1.2111299999999998,0.12,18.249370000000003,-14.62296,-14.04274,-0.1869400000000001,1.5428600000000008,-9.06041,500,LO,NN-only,0.5,
1.2438799999999999,0.13,19.24964,-15.64962,-14.45306,-0.10182000000000002,1.6756699999999984,-9.279190000000003,500,LO,NN-only,0.5,
1.27499,0.14,20.22456,-16.66346,-14.803320000000001,-0.02015999999999996,1.8053700000000001,-9.45701,500,LO,NN-only,0.5,
1.30465,0.15,21.17651,-17.66538,-15.10106,0.05184999999999995,1.8721999999999996,-9.66588,500,LO,NN-only,0.5,
1.33302,0.16,22.10753,-18.65616,-15.35055,0.1211,1.8988999999999996,-9.87918,500,LO,NN-only,0.5,
1.3602299999999998,0.17,23.01934,-19.63646,-15.555420000000002,0.18226999999999996,1.9329099999999988,-10.057360000000001,500,LO,NN-only,0.5,
1.3864,0.18,23.913439999999998,-20.60683,-15.7221,0.23898,1.9395999999999975,-10.236909999999998,500,LO,NN-only,0.5,
1.41161,0.19,24.79111,-21.56778,-15.85348,0.2885200000000001,1.883140000000001,-10.458489999999998,500,LO,NN-only,0.5,
1.43595,0.2,25.65352,-22.51973,-15.951979999999999,0.33368000000000003,1.88905,-10.595460000000001,500,LO,NN-only,0.5,
1.4595,0.21,26.50167,-23.46305,-16.02147,0.37863,1.8640399999999997,-10.74018,500,LO,NN-only,0.5,
1.48231,0.22,27.33645,-24.264670000000002,-15.93728,0.4149600000000001,1.7557999999999991,-10.69474,500,LO,NN-only,0.5,
1.50443,0.23,28.15867,-25.177410000000002,-15.949320000000002,0.44714,1.6886900000000011,-10.832229999999996,500,LO,NN-only,0.5,
1.52593,0.24,28.96906,-26.08176,-15.94106,0.4765299999999999,1.6201999999999988,-10.95703,500,LO,NN-only,0.5,
1.54683,0.25,29.76827,-26.97798,-15.91296,0.50302,1.5438799999999997,-11.07577,500,LO,NN-only,0.5,
1.5671899999999999,0.26,30.556890000000003,-27.8663,-15.86705,0.5256,1.4684300000000017,-11.182429999999998,500,LO,NN-only,0.5,
1.58703,0.27,31.33547,-28.74695,-15.806320000000001,0.5461600000000001,1.3767499999999997,-11.294889999999995,500,LO,NN-only,0.5,
1.60639,0.28,32.10448,-29.62012,-15.73027,0.56314,1.2894499999999989,-11.39332,500,LO,NN-only,0.5,
1.62529,0.29,32.8644,-30.485979999999998,-15.642970000000002,0.5784100000000001,1.205070000000001,-11.481069999999995,500,LO,NN-only,0.5,
1.6437599999999999,0.3,33.61562,-31.34471,-15.54186,0.5931599999999998,1.1086200000000002,-11.56917,500,LO,NN-only,0.5,
1.66182,0.31,34.35855,-32.19647,-15.431939999999999,0.6039899999999999,1.0215100000000028,-11.644359999999995,500,LO,NN-only,0.5,
1.6795,0.32,35.09352,-33.0414,-15.31417,0.6120399999999999,0.9237499999999992,-11.726260000000007,500,LO,NN-only,0.5,
1.69682,0.33,35.820879999999995,-33.87963,-15.18736,0.6198,0.8366999999999996,-11.789609999999994,500,LO,NN-only,0.5,
1.7137900000000001,0.34,36.540929999999996,-34.7113,-15.051810000000001,0.62575,0.7508800000000004,-11.845549999999998,500,LO,NN-only,0.5,
1.13972,0.05,16.16071,-5.22628,-2.2209,-0.08396999999999992,-0.04309000000000002,8.586470000000002,500,LO,NN+3N,0.0,
1.2111299999999998,0.06,18.249370000000003,-6.1322,-2.43085,0.011699999999999931,-0.04274999999999996,9.655269999999998,500,LO,NN+3N,0.0,
1.27499,0.07,20.22456,-7.0181,-2.59647,0.10494999999999988,-0.053700000000000025,10.66124,500,LO,NN+3N,0.0,
1.33302,0.08,22.10753,-7.886589999999999,-2.72451,0.19098999999999994,-0.06849000000000002,11.61893,500,LO,NN+3N,0.0,
1.3864,0.09,23.913439999999998,-8.739519999999999,-2.8216200000000002,0.2690500000000001,-0.08460999999999996,12.536740000000002,500,LO,NN+3N,0.0,
1.43595,0.1,25.65352,-9.57825,-2.89166,0.34032,-0.10509000000000003,13.41884,500,LO,NN+3N,0.0,
1.48231,0.11,27.33645,-10.40381,-2.93922,0.40064,-0.1295900000000001,14.264469999999998,500,LO,NN+3N,0.0,
1.52593,0.12,28.96906,-11.21701,-2.96786,0.4526200000000001,-0.15108,15.085729999999995,500,LO,NN+3N,0.0,
1.5671899999999999,0.13,30.556890000000003,-12.01852,-2.9805200000000003,0.4976200000000001,-0.17098999999999998,15.884479999999998,500,LO,NN+3N,0.0,
1.60639,0.14,32.10448,-12.80884,-2.97896,0.5324899999999999,-0.1926000000000001,16.656570000000002,500,LO,NN+3N,0.0,
1.6437599999999999,0.15,33.61562,-13.58844,-2.96519,0.56313,-0.21613000000000004,17.408990000000006,500,LO,NN+3N,0.0,
1.6795,0.16,35.09352,-14.35769,-2.94232,0.58609,-0.23253,18.147070000000003,500,LO,NN+3N,0.0,
1.7137900000000001,0.17,36.540929999999996,-15.11691,-2.91111,0.60601,-0.24165000000000006,18.877270000000006,500,LO,NN+3N,0.0,
1.74675,0.18,37.96021,-15.866389999999999,-2.87296,0.6163,-0.25631999999999994,19.580839999999995,500,LO,NN+3N,0.0,
1.77852,0.19,39.35344,-16.60639,-2.8289,0.6239100000000001,-0.26791,20.274149999999995,500,LO,NN+3N,0.0,
1.80919,0.2,40.722429999999996,-17.33711,-2.78045,0.62844,-0.2679300000000001,20.965380000000007,500,LO,NN+3N,0.0,
1.83885,0.21,42.06877,-18.05878,-2.72854,0.62805,-0.2766100000000001,21.63289,500,LO,NN+3N,0.0,
1.86759,0.22,43.39391,-18.5633,-2.66065,0.6220399999999999,-0.2805599999999999,22.511439999999997,500,LO,NN+3N,0.0,
1.89547,0.23,44.69911,-19.2491,-2.60407,0.61711,-0.2856999999999999,23.17735,500,LO,NN+3N,0.0,
1.92255,0.24,45.98552,-19.925910000000002,-2.5455799999999997,0.6102599999999999,-0.28648,23.83781,500,LO,NN+3N,0.0,
1.9488900000000002,0.25,47.25419,-20.59389,-2.48671,0.6013399999999999,-0.28491999999999995,24.490010000000005,500,LO,NN+3N,0.0,
1.97453,0.26,48.50605,-21.253220000000002,-2.42682,0.59155,-0.28509,25.132470000000005,500,LO,NN+3N,0.0,
