,kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
52,1.58703,0.27,31.33547,-35.15871,-10.26656,0.27723000000000003,0.2340500000000003,-13.586498823635338,450,LO,NN-only,0.5,
53,1.60639,0.28,32.10448,-36.22808,-10.11046,0.29057999999999995,0.17822999999999967,-13.76550283636243,450,LO,NN-only,0.5,
54,1.62529,0.29,32.8644,-37.28723,-9.94979,0.3043,0.12311000000000005,-13.940237377966696,450,LO,NN-only,0.5,
55,1.64376,0.3,33.61562,-38.33634,-9.78554,0.3153500000000001,0.08486000000000038,-14.110942444556713,450,LO,NN-only,0.5,
56,1.66182,0.31,34.35855,-39.3756,-9.61906,0.3240500000000001,0.02469999999999928,-14.277766680177592,450,LO,NN-only,0.5,
57,1.6795,0.32,35.09352,-40.40516,-9.45138,0.32979,-0.007340000000000123,-14.440951733799011,450,LO,NN-only,0.5,
58,1.69682,0.33,35.82087999999999,-41.42519,-9.28316,0.3369399999999999,-0.05587999999999972,-14.600647101808136,450,LO,NN-only,0.5,
59,1.71379,0.34,36.54093,-42.43584,-9.11386,0.3390100000000001,-0.08125999999999989,-14.756910246152984,450,LO,NN-only,0.5,
60,1.13972,0.05,16.16071,-5.5666,-1.93533,0.016189999999999982,-0.031680000000000035,8.640028738549972,450,LO,NN+3N,0.0,
61,1.2111299999999998,0.06,18.249370000000006,-6.53108,-2.06096,0.10348999999999996,-0.042710000000000026,9.721222439182668,450,LO,NN+3N,0.0,
62,1.27499,0.07,20.22456,-7.472069999999999,-2.145,0.17956999999999995,-0.054509999999999975,10.735658697860913,450,LO,NN+3N,0.0,
63,1.33302,0.08,22.10753,-8.39215,-2.19485,0.2430400000000001,-0.07415,11.693855231140432,450,LO,NN+3N,0.0,
64,1.3864,0.09,23.91344,-9.29313,-2.21891,0.2968,-0.09425999999999993,12.605319411099103,450,LO,NN+3N,0.0,
65,1.43595,0.1,25.65352,-10.17635,-2.22153,0.33847999999999995,-0.11647999999999994,13.477746582077799,450,LO,NN+3N,0.0,
66,1.48231,0.11,27.33645,-11.04286,-2.20757,0.36954,-0.13398999999999994,14.318150781208601,450,LO,NN+3N,0.0,
67,1.52593,0.12,28.96906,-11.89349,-2.18011,0.3938100000000001,-0.1464,15.131595863895427,450,LO,NN+3N,0.0,
68,1.56719,0.13,30.556890000000006,-12.72891,-2.14252,0.41197,-0.16110999999999995,15.922729620420796,450,LO,NN+3N,0.0,
69,1.60639,0.14,32.10448,-13.54968,-2.09665,0.4201600000000001,-0.16840000000000002,16.69525679125718,450,LO,NN+3N,0.0,
70,1.64376,0.15,33.61562,-14.35631,-2.04544,0.4237500000000001,-0.1809000000000001,17.45187262531806,450,LO,NN+3N,0.0,
71,1.6795,0.16,35.09352,-15.14921,-1.98944,0.4265800000000001,-0.18441,18.194902066249824,450,LO,NN+3N,0.0,
72,1.71379,0.17,36.54093,-15.928770000000002,-1.93105,0.42162,-0.17727999999999994,18.926442583166818,450,LO,NN+3N,0.0,
73,1.74675,0.18,37.96021,-16.695339999999998,-1.87027,0.41731999999999997,-0.19222,19.64744278497801,450,LO,NN+3N,0.0,
74,1.77852,0.19,39.35344,-17.44922,-1.80916,0.40973,-0.18627,20.35937821130142,450,LO,NN+3N,0.0,
75,1.80919,0.2,40.72243,-18.19074,-1.74778,0.39783,-0.18891,21.062703801304906,450,LO,NN+3N,0.0,
76,1.83885,0.21,42.06877,-18.92015,-1.68608,0.38659,-0.17417000000000005,21.757931073069813,450,LO,NN+3N,0.0,
77,1.86759,0.22,43.39391,-19.44539,-1.61996,0.37238000000000004,-0.17660000000000006,22.445648743382208,450,LO,NN+3N,0.0,
78,1.89547,0.23,44.69911,-20.13529,-1.56056,0.35973000000000005,-0.17132999999999998,23.12579985370394,450,LO,NN+3N,0.0,
